gene_symbol,present_in_gse163634
AC005828.1,False
AC005828.2,False
AC005828.3,False
AC005828.4,False
AC005828.5,False
AC005832.4,False
AC005833.1,False
AC005833.2,False
AC005833.3,False
AC005837.1,False
AC005837.2,False
AC005837.3,False
AC005838.2,True
AC005840.2,False
AC005840.4,False
AC005841.1,True
AC005842.1,False
AC005845.1,False
AC005856.1,False
AC005863.1,True
AC005865.1,False
AC005871.2,False
AC005884.1,True
AC005884.2,False
AC005899.1,False
AC005899.3,False
AC005899.5,False
AC005899.6,False
AC005899.7,False
AC005899.8,False
AC005909.1,False
AC005920.1,False
AC005920.2,False
AC005920.3,False
AC005920.4,False
AC005921.2,False
AC005944.1,False
AC005954.2,False
AC005962.1,False
AC005972.1,False
AC005972.4,False
AC005996.1,False
AC006004.1,True
AC006012.1,False
AC006017.1,False
AC006019.1,False
AC006027.1,False
AC006030.1,False
AC006033.2,False
AC006041.1,True
AC006042.1,False
AC006042.2,False
AC006042.4,False
AC006058.1,False
AC006058.2,False
AC006058.3,False
AC006059.1,False
AC006064.1,False
AC006064.2,False
AC006064.3,False
AC006064.4,False
AC006064.6,False
AC006065.4,False
AC006111.1,True
AC006111.3,False
AC006115.1,True
AC006115.3,False
AC006116.4,False
AC006116.8,False
AC006116.9,False
AC006130.1,True
AC006145.1,True
AC006146.1,False
AC006148.1,False
AC006148.2,False
AC006157.1,False
AC006159.1,False
AC006159.2,False
AC006160.1,False
AC006205.1,False
AC006206.1,False
AC006206.2,False
AC006207.1,False
AC006213.1,False
AC006213.2,False
AC006213.3,False
AC006238.1,False
AC006252.1,False
AC006254.1,False
AC006262.2,False
AC006270.1,False
AC006272.1,True
AC006273.1,False
AC006296.1,True
AC006299.1,False
AC006305.1,False
AC006305.2,False
AC006305.3,False
AC006329.1,False
AC006333.1,False
AC006333.2,False
AC006369.1,False
AC006369.2,True
AC006372.1,True
AC006372.3,False
AC006378.1,False
AC006435.1,False
AC006435.2,False
AC006435.3,False
AC006441.1,False
AC006441.3,False
AC006441.4,False
AC006449.1,True
AC006449.2,False
AC006449.3,False
AC006449.5,False
AC006449.6,False
AC006460.1,False
AC006480.2,False
AC006482.1,True
AC006483.2,False
AC006486.1,True
AC006487.1,True
AC006487.2,False
AC006504.1,False
AC006504.5,False
AC006511.4,False
AC006518.7,False
AC006547.1,False
AC006547.2,False
AC006547.3,False
AC006557.3,False
AC006581.1,False
AC006581.2,False
AC006942.1,False
AC006946.2,False
AC006946.3,False
AC006960.2,False
AC006960.3,False
AC006967.3,False
AC006974.1,False
AC006974.2,False
AC006978.2,False
AC007001.1,False
AC007009.1,False
AC007014.1,False
AC007029.1,False
AC007032.1,False
AC007036.1,False
AC007038.1,False
AC007038.2,False
AC007040.1,True
AC007040.2,True
AC007064.2,False
AC007091.1,True
AC007099.1,True
AC007100.1,False
AC007114.1,True
AC007114.2,False
AC007126.1,True
AC007128.1,False
AC007128.2,False
AC007163.1,False
AC007179.2,True
AC007182.1,False
AC007192.1,False
AC007192.2,False
AC007193.1,False
AC007193.2,False
AC007193.3,False
AC007216.1,False
AC007216.2,True
AC007216.4,False
AC007220.1,False
AC007228.2,False
AC007240.1,False
AC007249.1,False
AC007249.2,False
AC007250.1,False
AC007255.1,False
AC007262.2,False
AC007272.1,True
AC007277.1,False
AC007285.1,False
AC007285.2,False
AC007292.1,True
AC007292.2,False
AC007292.3,True
AC007298.1,False
AC007298.2,False
AC007308.1,False
AC007314.1,False
AC007319.1,True
AC007325.1,False
AC007325.2,False
AC007325.4,False
AC007326.2,False
AC007326.4,False
AC007327.2,False
AC007333.2,False
AC007336.1,False
AC007336.2,False
AC007342.4,False
AC007342.5,False
AC007347.1,False
AC007349.1,False
AC007349.2,False
AC007349.3,False
AC007349.4,True
AC007362.1,True
AC007364.1,True
AC007365.1,True
AC007370.1,False
AC007370.2,False
AC007375.3,False
AC007376.2,False
AC007378.1,False
AC007381.1,False
AC007383.2,False
AC007383.3,True
AC007384.1,False
AC007388.1,False
AC007389.3,True
AC007389.5,False
AC007391.1,False
AC007402.1,True
AC007403.1,True
AC007405.1,False
AC007405.2,False
AC007405.3,False
AC007406.3,False
AC007406.4,False
AC007422.2,False
AC007423.1,False
AC007431.1,False
AC007431.2,False
AC007448.2,False
AC007448.3,False
AC007450.1,True
AC007463.1,False
AC007485.1,False
AC007491.1,False
AC007493.1,False
AC007493.2,False
AC007494.2,False
AC007495.1,False
AC007496.1,False
AC007496.2,False
AC007529.1,False
AC007529.2,False
AC007533.1,False
AC007540.1,False
AC007541.1,False
AC007552.2,False
AC007556.1,False
AC007557.2,True
AC007557.3,True
AC007563.1,True
AC007563.2,False
AC007566.1,False
AC007569.1,False
AC007570.1,False
AC007595.1,False
AC007598.2,False
AC007601.1,False
AC007601.2,False
AC007603.1,False
AC007608.1,False
AC007608.2,False
AC007608.3,False
AC007610.1,False
AC007610.2,False
AC007611.1,True
AC007613.1,False
AC007614.1,False
AC007619.1,False
AC007620.2,False
AC007620.3,True
AC007622.2,False
AC007638.1,False
AC007638.2,False
AC007639.1,False
AC007655.1,False
AC007656.1,False
AC007663.2,False
AC007663.3,False
AC007666.1,False
AC007673.1,False
AC007679.1,True
AC007681.1,False
AC007686.2,False
AC007686.3,False
AC007687.1,False
AC007688.2,False
AC007728.1,False
AC007728.2,False
AC007731.1,False
AC007731.3,False
AC007731.4,False
AC007731.5,False
AC007743.1,True
AC007749.1,False
AC007750.1,False
AC007773.1,True
AC007785.3,False
AC007786.1,False
AC007786.2,False
AC007786.3,False
AC007787.1,False
AC007823.1,False
AC007834.1,False
AC007846.1,False
AC007848.1,False
AC007861.2,False
AC007876.1,False
AC007878.1,False
AC007879.1,True
AC007879.2,False
AC007879.3,False
AC007879.4,True
AC007881.2,True
AC007881.3,False
AC007906.2,False
AC007920.2,False
AC007922.1,False
AC007922.3,False
AC007923.1,False
AC007923.4,False
AC007938.1,False
AC007938.2,False
AC007938.3,False
AC007950.1,True
AC007950.2,False
AC007952.4,True
AC007952.5,True
AC007952.6,True
AC007952.7,False
AC007953.1,False
AC007953.2,False
AC007966.1,True
AC007993.3,False
AC007998.2,False
AC007998.3,False
AC007998.4,False
AC008011.2,False
AC008014.1,False
AC008033.3,False
AC008035.1,False
AC008040.1,False
AC008040.5,False
AC008050.1,False
AC008056.2,False
AC008060.1,False
AC008063.1,False
AC008063.2,True
AC008067.1,False
AC008073.1,False
AC008073.2,False
AC008073.3,False
AC008074.1,False
AC008074.3,True
AC008079.1,False
AC008079.2,False
AC008080.1,False
AC008080.4,False
AC008083.1,False
AC008083.2,False
AC008083.3,False
AC008105.1,False
AC008105.3,False
AC008109.1,False
AC008114.1,False
AC008115.1,False
AC008115.2,False
AC008115.4,False
AC008121.2,False
AC008121.3,False
AC008124.1,False
AC008147.1,True
AC008149.1,False
AC008164.1,False
AC008243.1,False
AC008250.1,False
AC008264.2,False
AC008267.5,False
AC008268.1,True
AC008269.1,False
AC008269.2,True
AC008277.1,True
