axis,gene,coefficient
pc1,ADCY7,0.000546272663882676
pc1,ADCY8,3.4853434448766905e-06
pc1,ADCY9,-0.00036574796431343827
pc1,ADCYAP1,-0.0002575385759985648
pc1,ADCYAP1R1,-1.994870292439149e-06
pc1,ADD1,1.2031659799691595e-05
pc1,ADD2,0.0007676259818206842
pc1,ADD3,-0.00024165767998017806
pc1,ADGB,6.377950634725013e-05
pc1,ADH1A,1.9393044284170017e-06
pc1,ADH1B,4.510028384517582e-06
pc1,ADH1C,3.35179112765073e-05
pc1,ADH4,1.5726164470412186e-06
pc1,ADH5,-0.00017528211735377177
pc1,ADH6,-8.955794345180954e-06
pc1,ADH7,0.0
pc1,ADI1,-0.0003547953902590635
pc1,ADIG,-1.6376018541823896e-06
pc1,ADIPOQ,-4.204820921319613e-06
pc1,ADIPOQ-AS1,0.0
pc1,ADIPOR1,-9.210578370762655e-06
pc1,ADIPOR2,-1.8755040313460075e-05
pc1,ADM,-0.0001030018489968279
pc1,ADM2,0.00017698556784648945
pc1,ADNP,-0.00026423233201284423
pc1,ADNP2,-0.0001535787364925872
pc1,ADO,-0.00040480404530849825
pc1,ADORA1,0.00010360514899289388
pc1,ADORA2A-AS1,-4.818897907028798e-06
pc1,ADORA2B,-0.0005161078271307514
pc1,ADORA3,-6.0023412008822585e-05
pc1,ADPGK,0.00013288780775843446
pc1,ADPGK-AS1,-7.908432319112574e-06
pc1,ADPRH,-0.0002367529268203607
pc1,ADPRHL1,-0.00016371859585434441
pc1,ADPRHL2,-0.00039693442551312185
pc1,ADPRM,0.000528971106017629
pc1,ADRA1A,2.259548405435869e-05
pc1,ADRA1B,-2.35814903863943e-06
pc1,ADRA1D,4.054167689878107e-06
pc1,ADRA2A,-0.00027853724209923425
pc1,ADRA2B,-7.930049467942117e-05
pc1,ADRA2C,0.0008318267847860244
pc1,ADRB1,-0.00014778331659131002
pc1,ADRB2,0.0006955977963993286
pc1,ADRB3,-6.988965776904733e-05
pc1,ADRM1,-0.0004975718488801007
pc1,ADSL,-0.00018693692865308175
pc1,ADSSL1,0.00011585321631401415
pc1,ADTRP,-0.0003540334396463814
pc1,AEBP2,-9.525333478288665e-05
pc1,AEN,-8.134333467014583e-05
pc1,AES,-0.0001994574205936007
pc1,AFAP1,-0.0002039923623034853
pc1,AFAP1-AS1,-0.0006166111399934933
pc1,AFAP1L1,-0.0005294420425450777
pc1,AFAP1L2,0.00012841157282576532
pc1,AFF1,-0.0002089459303844048
pc1,AFF2,-0.00045199325281544505
pc1,AFF3,0.0013721842923776516
pc1,AFF4,9.027511890326848e-05
pc1,AFG3L2,5.57091514933997e-05
pc1,AFM,-1.9824512405504022e-06
pc1,AFMID,-0.0003760565341075003
pc1,AFP,1.6582962243161361e-06
pc1,AFTPH,0.00023447788434892864
pc1,AGA,-1.6191466773049142e-05
pc1,AGAP1,-5.8698028175070715e-05
pc1,AGAP2-AS1,0.00037355213510160523
pc1,AGAP3,-0.00039149517029495203
pc1,AGAP4,0.00016161948569112027
pc1,AGAP6,9.098060122619123e-05
pc1,AGBL1,1.1787807289900001e-05
pc1,AGBL1-AS1,-7.201436039682414e-06
pc1,AGBL2,3.1960372231343844e-05
pc1,AGBL3,-0.00020595052480568601
pc1,AGBL4,-0.0001633246327193985
pc1,AGBL5,6.088753380270928e-05
pc1,AGBL5-AS1,-3.4571699363014378e-06
pc1,AGER,0.00035944366306733133
pc1,AGFG2,9.289730590384463e-05
pc1,AGGF1,-1.2888023642357197e-05
pc1,AGK,4.85316827583073e-05
pc1,AGL,0.000256293617863582
pc1,AGMAT,-0.000304519329598336
pc1,AGMO,7.093441713186036e-06
pc1,AGO1,0.00036228396122676005
pc1,AGO2,-0.000330694889784017
pc1,AGO3,0.00017927836460957604
pc1,AGO4,3.777616165167444e-05
pc1,AGPAT1,-0.00015808770164211345
pc1,AGPAT2,-0.0004689960917178743
pc1,AGPAT3,-0.0002815749419015384
pc1,AGPAT4,0.00019202909569027114
