axis,gene,coefficient
ilr_stem_vs_committed,AC004817.1,-2.1502331139327288e-05
ilr_stem_vs_committed,AC004870.4,1.7213687841433385e-06
ilr_stem_vs_committed,AC004895.1,-9.607021921663e-05
ilr_stem_vs_committed,AC004969.1,6.471107441245766e-06
ilr_stem_vs_committed,AC004988.1,8.696960165652896e-06
ilr_stem_vs_committed,AC005008.2,0.0
ilr_stem_vs_committed,AC005009.1,3.533800687564008e-05
ilr_stem_vs_committed,AC005009.2,0.0001341422830204263
ilr_stem_vs_committed,AC005019.2,0.0
ilr_stem_vs_committed,AC005034.2,-3.2738605194652245e-06
ilr_stem_vs_committed,AC005034.3,-0.00019056968310333586
ilr_stem_vs_committed,AC005037.1,0.0005787018584294752
ilr_stem_vs_committed,AC005086.1,-1.8446492256240103e-05
ilr_stem_vs_committed,AC005150.1,0.0
ilr_stem_vs_committed,AC005224.2,4.138606446941256e-06
ilr_stem_vs_committed,AC005253.2,1.1100648126080483e-05
ilr_stem_vs_committed,AC005256.1,1.3370704681024662e-05
ilr_stem_vs_committed,AC005262.2,0.0
ilr_stem_vs_committed,AC005281.1,-6.991305020943412e-06
ilr_stem_vs_committed,AC005288.1,-7.368656031274419e-05
ilr_stem_vs_committed,AC005304.1,4.050589532576591e-05
ilr_stem_vs_committed,AC005307.1,2.277090616005192e-06
ilr_stem_vs_committed,AC005355.1,2.7797285857168843e-06
ilr_stem_vs_committed,AC005387.2,-9.550057044805059e-06
ilr_stem_vs_committed,AC005394.1,-1.8964542720974363e-05
ilr_stem_vs_committed,AC005498.3,0.00020628636224491372
ilr_stem_vs_committed,AC005523.2,6.770689661696388e-05
ilr_stem_vs_committed,AC005549.1,1.5159481140747217e-05
ilr_stem_vs_committed,AC005592.1,0.0
ilr_stem_vs_committed,AC005616.1,-0.00015003874294650086
ilr_stem_vs_committed,AC005625.1,0.0
ilr_stem_vs_committed,AC005702.1,0.0
ilr_stem_vs_committed,AC005703.3,-1.692212091166274e-05
ilr_stem_vs_committed,AC005725.1,-5.788378668170969e-06
ilr_stem_vs_committed,AC005730.2,-5.420518410468507e-05
ilr_stem_vs_committed,AC005740.3,0.0
ilr_stem_vs_committed,AC005740.4,3.057606822386105e-05
ilr_stem_vs_committed,AC005779.1,1.9705987153899075e-05
ilr_stem_vs_committed,AC005786.3,-4.653919772409228e-05
ilr_stem_vs_committed,AC005838.2,0.00021013469830323745
ilr_stem_vs_committed,AC005841.1,1.037741250959794e-05
ilr_stem_vs_committed,AC005863.1,0.0
ilr_stem_vs_committed,AC005884.1,2.837419709160148e-06
ilr_stem_vs_committed,AC006004.1,3.7805326581785187e-06
ilr_stem_vs_committed,AC006041.1,0.0
ilr_stem_vs_committed,AC006111.1,0.0
ilr_stem_vs_committed,AC006115.1,0.0
ilr_stem_vs_committed,AC006130.1,4.516214128601066e-05
ilr_stem_vs_committed,AC006145.1,0.0
ilr_stem_vs_committed,AC006272.1,4.8457198408235685e-06
ilr_stem_vs_committed,AC006296.1,0.0
ilr_stem_vs_committed,AC006369.2,0.0
ilr_stem_vs_committed,AC006372.1,-6.3668513259402e-06
ilr_stem_vs_committed,AC006449.1,0.0
ilr_stem_vs_committed,AC006482.1,-1.207260159298326e-05
ilr_stem_vs_committed,AC006486.1,-5.160849037961416e-07
ilr_stem_vs_committed,AC006487.1,0.0
ilr_stem_vs_committed,AC007040.1,0.0
ilr_stem_vs_committed,AC007040.2,0.0001728805527147095
ilr_stem_vs_committed,AC007091.1,6.845782918809391e-06
ilr_stem_vs_committed,AC007099.1,-7.656960210170352e-06
ilr_stem_vs_committed,AC007114.1,0.0007138666791721031
ilr_stem_vs_committed,AC007126.1,-1.8342351817044923e-05
ilr_stem_vs_committed,AC007179.2,-2.048498497812986e-05
ilr_stem_vs_committed,AC007216.2,-2.6913221155894963e-05
ilr_stem_vs_committed,AC007272.1,0.0001852686635155459
ilr_stem_vs_committed,AC007292.1,-0.00011556280272273643
ilr_stem_vs_committed,AC007292.3,7.918560622788196e-05
ilr_stem_vs_committed,AC007319.1,0.0003007711446749503
ilr_stem_vs_committed,AC007349.4,-8.504995129757867e-06
ilr_stem_vs_committed,AC007362.1,-2.6925128493963595e-05
ilr_stem_vs_committed,AC007364.1,-7.414410904235108e-05
ilr_stem_vs_committed,AC007365.1,0.0005670423709936719
ilr_stem_vs_committed,AC007383.3,-4.8488841276701975e-05
ilr_stem_vs_committed,AC007389.3,3.101557579857138e-05
ilr_stem_vs_committed,AC007402.1,6.908204247686205e-07
ilr_stem_vs_committed,AC007403.1,0.0
ilr_stem_vs_committed,AC007450.1,-9.808372931690484e-06
ilr_stem_vs_committed,AC007557.2,0.0
ilr_stem_vs_committed,AC007557.3,1.162545465987319e-06
ilr_stem_vs_committed,AC007563.1,0.0
ilr_stem_vs_committed,AC007611.1,-0.0004050571206608233
ilr_stem_vs_committed,AC007620.3,0.00015883145279907751
ilr_stem_vs_committed,AC007679.1,-7.971768077034654e-06
ilr_stem_vs_committed,AC007743.1,-0.00014437716855756607
