leiden,n_cells,top_sample_frac,dominant_prelim_label,dominant_prelim_frac,dx_frac,eoi_frac,rel_frac,dxrel_frac,median_score_T_cell,median_score_NK,median_score_B_cell,median_score_Myeloid,median_score_DC,median_score_Erythroid,median_score_HSPC,median_score_Proliferating,median_score_Blast_TALL,median_score_normal_best,median_score_blast_margin,cluster_lineage_call,cluster_is_malignant,cluster_fine_annotation,Broad_Cellgroup,review_flag
18,653,0.9877488514548239,Proliferating,0.3782542113323124,0.9892802450229708,0.010719754977029096,0.0,0.9892802450229708,0.6859225034713745,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,0.24194277822971344,0.7516920566558838,0.6859225034713745,0.06576955318450928,T_cell,True,Blast_TALL,Blast_TALL,True
19,634,0.3391167192429022,Myeloid,0.8817034700315457,0.637223974763407,0.02365930599369085,0.3391167192429022,0.9763406940063092,-1.2600444555282593,-0.19303274154663086,1.1242637634277344,6.263287544250488,0.7797757387161255,-0.3843928873538971,-0.4328238070011139,-0.3493824005126953,-1.0234980583190918,6.263287544250488,-7.28678560256958,Myeloid,False,Myeloid,Myeloid_APC,False
2,2752,0.9774709302325582,Unknown,0.5846656976744186,0.9821947674418605,0.017805232558139535,0.0,0.9821947674418605,-0.5460458397865295,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,-0.2666550874710083,-0.25432443618774414,-0.01233065128326416,Myeloid,False,Myeloid,Myeloid_APC,True
20,598,0.8010033444816054,Unknown,0.4280936454849498,0.9933110367892977,0.0016722408026755853,0.005016722408026756,0.9983277591973244,-0.7566854357719421,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,-0.17307846248149872,-0.25432443618774414,0.08124597370624542,Myeloid,False,Myeloid,Myeloid_APC,True
21,446,0.38789237668161436,Myeloid,0.9461883408071748,0.14573991031390135,0.8542600896860987,0.0,0.14573991031390135,-1.2600444555282593,-0.5121455192565918,0.7409650087356567,3.8776803016662598,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.37593260407447815,-1.0664169788360596,3.8776803016662598,-4.944097280502319,Myeloid,False,Myeloid,Myeloid_APC,False
22,94,1.0,Proliferating,0.9361702127659575,1.0,0.0,0.0,1.0,0.8584976196289062,0.6486152410507202,-0.10072295367717743,-0.11981116235256195,-0.3141160011291504,-0.3843928873538971,2.260159969329834,3.6987690925598145,0.7886837720870972,2.260159969329834,-1.4714761972427368,HSPC,True,Blast_TALL,Blast_TALL,False
3,2726,0.9985326485693323,T_cell,0.48239178283198825,1.0,0.0,0.0,1.0,1.1666643619537354,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,0.5800991654396057,0.8919965028762817,1.1666643619537354,-0.2746678590774536,T_cell,False,T_cell,T_NK,True
4,2703,0.9914909359970403,Blast_TALL,0.5456899741028487,0.9996300406955235,0.0003699593044765076,0.0,0.9996300406955235,0.06126071512699127,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.13616852462291718,1.2835980653762817,0.06126071512699127,1.2223373502492905,T_cell,True,Blast_TALL,Blast_TALL,True
5,2151,0.99953509995351,T_cell,0.3621571362157136,1.0,0.0,0.0,1.0,0.9320108890533447,0.07480766624212265,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,0.8903992772102356,0.9320108890533447,-0.04161161184310913,T_cell,False,T_cell,T_NK,True
6,1875,0.36906666666666665,Erythroid,0.8069333333333333,0.0816,0.5493333333333333,0.36906666666666665,0.45066666666666666,-1.2600444555282593,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,2.4871811866760254,-0.4328238070011139,1.5675733089447021,-0.7763813734054565,2.4871811866760254,-3.263562560081482,Erythroid,False,Erythroid,Erythroid_Baso,False
7,1770,0.9937853107344633,T_cell,0.2576271186440678,0.9977401129943503,0.0022598870056497176,0.0,0.9977401129943503,0.6057455539703369,0.00197338848374784,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.45230633020401,0.37430495023727417,0.6057455539703369,-0.23144060373306274,T_cell,False,T_cell,T_NK,True
8,1739,0.4289821736630247,Unknown,0.3818286371477861,0.22484186313973548,0.6101207590569293,0.16503737780333524,0.3898792409430707,-0.003408733056858182,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,-1.1171677112579346,-0.003408733056858182,-1.1137589782010764,T_cell,False,T_cell,T_NK,True
9,1706,1.0,Proliferating,0.36400937866354044,1.0,0.0,0.0,1.0,0.9667675495147705,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,0.6916495561599731,1.3601388931274414,0.9667675495147705,0.3933713436126709,T_cell,True,Blast_TALL,Blast_TALL,True
