leiden,rank,gene,score,logfoldchange,pvals_adj
8,14,RPL35A,57.522377014160156,1.985595464706421,0.0
8,15,RPL21,57.41550064086914,2.178927421569824,0.0
8,16,RPS28,57.27365493774414,2.0106241703033447,0.0
8,17,EEF1A1,56.72026062011719,2.0861599445343018,0.0
8,18,RPL37,56.351219177246094,2.151719808578491,0.0
8,19,RPS21,56.29161071777344,2.0820140838623047,0.0
8,20,TPT1,55.32842254638672,1.9392805099487305,0.0
9,1,TRBV20-1,69.58108520507812,9.300875663757324,0.0
9,2,XG,52.824520111083984,4.889106750488281,0.0
9,3,BTF3,52.61457443237305,1.9308885335922241,0.0
9,4,GAPDH,52.58876419067383,2.7502076625823975,0.0
9,5,RPL7A,52.00395202636719,1.8987020254135132,0.0
9,6,RPS23,51.94441604614258,2.003235101699829,0.0
9,7,MAL,51.87934875488281,3.214169979095459,0.0
9,8,HES4,51.87152862548828,3.6265056133270264,0.0
9,9,TXN,51.72414016723633,2.4614923000335693,0.0
9,10,CD99,50.38227844238281,2.509260654449463,0.0
9,11,TRBV6-6,49.74041748046875,7.206246376037598,0.0
9,12,STMN1,48.060176849365234,2.8138184547424316,0.0
9,13,PPIA,45.29180145263672,2.057088613510132,0.0
9,14,VAT1,45.26901626586914,2.655848741531372,0.0
9,15,RPS4X,45.218563079833984,1.9516003131866455,0.0
9,16,TUBB,44.265655517578125,2.546379566192627,0.0
9,17,TRBC2,43.340606689453125,2.334059000015259,0.0
9,18,PABPC1,43.21218490600586,1.4424149990081787,0.0
9,19,RPL35,42.90532302856445,1.637479305267334,0.0
9,20,EEF1D,42.874473571777344,1.5125939846038818,0.0
10,1,TRBV12-5,66.33380889892578,10.76854419708252,0.0
10,2,FXYD2,65.65811157226562,6.18416690826416,0.0
10,3,TRBV2,64.562744140625,9.707475662231445,0.0
10,4,GAPDH,53.99086380004883,2.833827495574951,0.0
10,5,PTCRA,51.384727478027344,4.419561386108398,0.0
10,6,CHCHD2,49.75354766845703,1.9508161544799805,0.0
10,7,NAP1L1,47.79667663574219,2.2251288890838623,0.0
10,8,PTMS,47.257381439208984,3.172835111618042,0.0
10,9,RPS6,46.89237976074219,1.9658691883087158,0.0
10,10,MEST,46.22479248046875,5.36754846572876,0.0
10,11,MIF,45.46574020385742,2.2617790699005127,0.0
10,12,HNRNPA1,45.331607818603516,1.7770540714263916,0.0
10,13,VIM,44.99174118041992,2.3732588291168213,0.0
10,14,S100A10,44.95168685913086,3.211554765701294,0.0
10,15,PTMA,44.56791687011719,1.7475697994232178,0.0
10,16,PPIA,43.923828125,2.0234036445617676,0.0
10,17,BEX3,43.70707321166992,3.159019708633423,0.0
10,18,PSAP,43.67795181274414,2.073580265045166,0.0
10,19,TXN,43.31301498413086,2.1207802295684814,0.0
10,20,HMGN2,42.516197204589844,2.296804904937744,0.0
11,1,MT-ND3,58.9561653137207,3.4255406856536865,0.0
11,2,MT-CYB,57.556373596191406,2.9881856441497803,0.0
11,3,MT-CO3,57.513206481933594,2.9650449752807617,0.0
11,4,MT-CO2,56.38644027709961,2.8996315002441406,0.0
11,5,MT-ND4,56.38018035888672,2.9881200790405273,0.0
11,6,MT-ND2,55.414947509765625,3.0325257778167725,0.0
11,7,MT-ND1,54.856754302978516,2.7220919132232666,0.0
11,8,MT-CO1,54.727901458740234,2.5862717628479004,0.0
11,9,MT-ATP6,54.54673385620117,2.7793688774108887,0.0
11,10,MT-ATP8,51.87303161621094,3.1050541400909424,0.0
11,11,MT-ND4L,47.77923583984375,2.4868624210357666,0.0
11,12,MT-ND5,45.243919372558594,2.007852792739868,0.0
11,13,MALAT1,35.75258255004883,1.7750030755996704,1.4450188135493336e-277
11,14,FUS,29.221363067626953,1.4504833221435547,1.520516090795229e-185
11,15,NEAT1,28.65809440612793,2.242812395095825,1.7396939426488665e-178
11,16,MT-ND6,28.60915756225586,1.7939969301223755,7.018282545199977e-178
11,17,FOSB,26.89965057373047,2.5968711376190186,2.470185417381427e-157
11,18,ADGRE5,23.2878360748291,2.4055755138397217,4.876330701123794e-118
11,19,NKTR,23.227767944335938,1.7256461381912231,1.9621341027287076e-117
11,20,MSI2,22.167261123657227,2.068608522415161,5.2761402979854776e-107
12,1,HBB,64.8724365234375,12.690603256225586,0.0
12,2,ADIPOR1,62.774593353271484,4.8066487312316895,0.0
12,3,SLC25A39,62.7219352722168,5.407662868499756,0.0
12,4,BNIP3L,62.70493698120117,4.649435520172119,0.0
12,5,ALAS2,62.65437698364258,7.622701168060303,0.0
12,6,SNCA,62.59096145629883,6.409984111785889,0.0
12,7,DCAF12,62.48088073730469,6.398050308227539,0.0
12,8,UBB,62.27848434448242,3.8344621658325195,0.0
12,9,TRIM58,61.999725341796875,6.2249755859375,0.0
12,10,HBA1,61.86442565917969,7.541945457458496,0.0
12,11,HBA2,61.440460205078125,7.255568981170654,0.0
12,12,STRADB,61.03958511352539,5.27616024017334,0.0
12,13,NCOA4,60.925575256347656,4.535136699676514,0.0
12,14,FKBP8,60.71864318847656,3.2666664123535156,0.0
12,15,FAM210B,60.50800704956055,5.399128437042236,0.0
12,16,MKRN1,60.15530014038086,4.622100830078125,0.0
12,17,BCL2L1,60.13629150390625,4.746182441711426,0.0
12,18,SLC25A37,59.51940155029297,6.0290141105651855,0.0
12,19,LGALS3,58.73977279663086,5.522404670715332,0.0
12,20,SELENBP1,58.7059440612793,5.635711193084717,0.0
13,1,SLC25A37,53.71142578125,6.461310386657715,0.0
13,2,HBA2,52.26809310913086,7.3713226318359375,0.0
13,3,HBA1,52.14723205566406,7.242447853088379,0.0
13,4,HBD,51.859161376953125,7.923830032348633,0.0
13,5,HBB,51.63725662231445,11.904915809631348,0.0
13,6,AHSP,51.385684967041016,7.083800792694092,0.0
13,7,ALAS2,50.31509780883789,6.529356479644775,0.0
13,8,SLC4A1,50.27383804321289,6.081431865692139,0.0
13,9,SNCA,49.925025939941406,5.521527290344238,0.0
13,10,HBM,49.820133209228516,6.897607803344727,0.0
13,11,BLVRB,49.79289627075195,5.640519142150879,0.0
13,12,SLC25A39,49.58169937133789,4.551323413848877,0.0
13,13,CA1,49.377288818359375,7.1913065910339355,0.0
13,14,BSG,48.9460563659668,4.123281955718994,0.0
13,15,EPB42,47.50636291503906,5.346097469329834,0.0
13,16,BNIP3L,47.460304260253906,3.957336664199829,0.0
13,17,HMBS,47.25075912475586,5.307366847991943,0.0
13,18,SELENBP1,47.08565902709961,5.189614772796631,0.0
13,19,FAM210B,46.94905471801758,4.646988391876221,0.0
13,20,FECH,46.66019058227539,4.901676654815674,0.0
14,1,TRGV3,52.16720199584961,5.8284478187561035,0.0
14,2,TRDV3,52.06367492675781,8.833114624023438,0.0
14,3,IGLL1,50.444210052490234,6.46384334564209,0.0
14,4,SOCS2,50.15919876098633,4.8077006340026855,0.0
14,5,PRSS57,49.11345291137695,4.841036796569824,0.0
14,6,RGPD3,45.97796630859375,6.029595851898193,0.0
14,7,GSTP1,45.925567626953125,2.89033579826355,0.0
14,8,GNA15,45.1501350402832,3.1852307319641113,0.0
14,9,ENO1,44.63777160644531,2.8726463317871094,0.0
14,10,AIF1,43.90457534790039,2.7471375465393066,0.0
14,11,CD99,43.190067291259766,2.6168365478515625,0.0
14,12,TUBA1A,43.185691833496094,2.6958441734313965,0.0
14,13,CAPG,43.16215896606445,2.850369453430176,0.0
14,14,PTGER3,42.71293258666992,6.850067615509033,0.0
14,15,PEBP1,42.64558029174805,2.6203503608703613,0.0
14,16,DUSP6,42.613922119140625,4.045927047729492,0.0
14,17,TPM4,42.57494354248047,2.860264778137207,0.0
14,18,DNTT,42.496788024902344,3.443537473678589,0.0
14,19,HINT1,42.1480598449707,1.9768060445785522,0.0
14,20,SMIM24,41.79429626464844,3.191514730453491,0.0
15,1,HLA-B,45.02961349487305,3.386885404586792,0.0
15,2,NKG7,44.78053283691406,5.090760231018066,0.0
15,3,HLA-C,43.78634262084961,3.045856237411499,0.0
15,4,SRGN,42.38998794555664,4.046787261962891,0.0
15,5,HLA-A,41.961097717285156,2.853785753250122,0.0
15,6,CST7,41.29206085205078,5.9655442237854,0.0
15,7,B2M,40.881385803222656,2.7251415252685547,0.0
15,8,CCL5,39.46290969848633,8.808370590209961,0.0
15,9,HLA-E,35.847415924072266,2.472943067550659,7.518806896724932e-278
15,10,CD74,34.7011833190918,3.74126935005188,2.535977404617062e-260
15,11,HCST,33.92247009277344,2.746748924255371,8.684320974161352e-249
15,12,RPS27,33.709720611572266,1.8931620121002197,1.0743494466233503e-245
15,13,CALM1,32.4725341796875,1.9434349536895752,6.23937461328976e-228
15,14,LITAF,31.559978485107422,3.1243515014648438,2.925193879890057e-215
15,15,GZMA,30.745370864868164,4.29365348815918,2.95558350924232e-204
15,16,GNLY,30.65813446044922,9.623041152954102,4.061969530517652e-203
15,17,ITGB2,28.96766471862793,2.603835105895996,3.1330927051217265e-181
15,18,RPL36AL,28.587915420532227,1.4951938390731812,1.6762306016203572e-176
15,19,TOMM7,28.224641799926758,1.7810381650924683,4.888538822432158e-172
15,20,GZMM,28.2048282623291,3.916579246520996,8.148675481752006e-172
16,1,HLA-DRA,48.57700729370117,7.2963738441467285,0.0
16,2,HLA-DPB1,46.85636520385742,6.6481781005859375,0.0
16,3,CD74,46.796783447265625,7.546507358551025,0.0
16,4,HLA-DQB1,46.47917175292969,7.14608907699585,0.0
16,5,CD79A,45.80337905883789,5.443367004394531,0.0
16,6,HLA-DRB1,44.13624572753906,6.628006458282471,0.0
16,7,LAPTM5,42.19263458251953,3.3314478397369385,0.0
16,8,HLA-DPA1,42.07763671875,6.306837558746338,0.0
16,9,RPS27,40.34738540649414,2.454200029373169,0.0
16,10,CD37,40.255611419677734,3.302544593811035,0.0
16,11,RPL18A,37.531654357910156,1.9263147115707397,8.557690004932e-305
16,12,BTG1,37.21934127807617,2.601147174835205,9.281506982598452e-300
16,13,RPS27A,37.14298629760742,1.944684386253357,1.4679342541416914e-298
