sample_id,patient_id,timepoint_label,time_index,B_Plasma,Erythroid_Baso,HSPC_Prog,Myeloid_APC,T_NK,Unknown,known_total,B_Plasma_given_known,Erythroid_Baso_given_known,HSPC_Prog_given_known,Myeloid_APC_given_known,T_NK_given_known,B_Plasma_given_known_z,Erythroid_Baso_given_known_z,HSPC_Prog_given_known_z,Myeloid_APC_given_known_z,T_NK_given_known_z
AML1_DX,AML1,DX,0,0.0907674328009349,0.1799766264121542,0.4511102454226722,0.19127386053759232,0.0860927152317879,0.0007791195948578,0.9992208804051422,0.09083820662768026,0.18011695906432743,0.45146198830409334,0.19142300194931752,0.08615984405458071,0.920802775602561,1.86041914909179,-0.4995360610191337,-0.1484878826806955,-0.23856884156683977
AML20_DX,AML20,DX,0,0.0637223974763405,0.0648264984227127,0.4129337539432175,0.415930599369085,0.0381703470031543,0.0044164037854889,0.9955835962145111,0.06400506970849155,0.06511406844106439,0.41476552598225586,0.4177756653992393,0.038339670468947755,0.3437692200379796,0.04899570350478896,-0.6848412615141566,1.0240677286962692,-0.5807142007851142
AML21_DX,AML21,DX,0,0.0286216419784081,0.10770775797137819,0.47702736630680365,0.2904845593773536,0.09490333919156389,0.0012553351744915,0.9987446648255085,0.028657616892910874,0.10784313725490179,0.4776269482151832,0.29084967320261423,0.09502262443438887,-0.4163605568029788,0.7220260650723154,-0.3674115226986245,0.36656371654370973,-0.175157127443887
AML22_DX,AML22,DX,0,0.00621275516673,0.10840623811335101,0.8199568910865981,0.00012679092177,0.0652973247115504,0.0,1.0,0.00621275516673,0.10840623811335101,0.8199568910865981,0.00012679092177,0.0652973247115504,-0.8990263891660897,0.7308955299326948,1.3612433580604881,-1.139443510314068,-0.3878366848137292
AML23_DX,AML23,DX,0,0.1528662420382165,0.023354564755838504,0.33404104741684354,0.052370842179759305,0.4373673036093416,0.0,1.0,0.1528662420382165,0.023354564755838504,0.33404104741684354,0.052370842179759305,0.4373673036093416,2.254685501480652,-0.6087629288351314,-1.0924736254796126,-0.8688080579630776,2.2742619032718436
AML24_DX,AML24,DX,0,0.0097254004576658,0.0524885583524026,0.6810640732265445,0.21481693363844379,0.039759725400457496,0.0021453089244851,0.9978546910755149,0.009746309301992155,0.05260140461516396,0.682528307295399,0.21527877311165242,0.039845205675791716,-0.8230390265036142,-0.14809266964954212,0.6672737037153436,-0.024909843377839577,-0.5699423477043435
AML25_DX,AML25,DX,0,0.013329050907339,0.26369038060061006,0.4970290669664363,0.14581660510679278,0.0798137144692465,0.0003211819495744,0.9996788180504256,0.013333333333333326,0.26377510040160623,0.4971887550200801,0.14586345381526084,0.07983935742971854,-0.74590181973819,3.1781279285085398,-0.26863076012170445,-0.3844961672848038,-0.28379086826704136
AML26_DX,AML26,DX,0,0.009096651926721301,0.0721415034744155,0.8592545799115601,0.0042956411876184,0.055211623499683796,0.0,1.0,0.009096651926721301,0.0721415034744155,0.8592545799115601,0.0042956411876184,0.055211623499683796,-0.8370095923111184,0.15968562192999322,1.5596839064391028,-1.1178479668921,-0.45999819334365705
AML27_DX,AML27,DX,0,0.0487804878048779,0.029471544715447103,0.4146341463414633,0.42784552845528445,0.0724085365853656,0.0068597560975609,0.993140243902439,0.04911742133537974,0.029675108723458632,0.41749808135072897,0.4308007162957277,0.07290867229470427,0.023617584371831646,-0.5092073309735362,-0.6710427455706365,1.0915403012932638,-0.3333787634448339
AML2_DX,AML2,DX,0,0.021893371173727798,0.0192580579768901,0.589296574092844,0.3506993715791607,0.0168254611798093,0.0020271639975674,0.9979728360024326,0.02193784277879326,0.019297176518382867,0.5904936014625227,0.35141174080845006,0.01685963843185035,-0.5608660300667941,-0.672671306627588,0.20252837030175383,0.680288287421245,-0.7344002442745242
AML3_DX,AML3,DX,0,0.016072266541529698,0.0048099483810417,0.6318629751290473,0.29446269357109317,0.0491553261379631,0.0036367902393242,0.9963632097606758,0.016130931355233618,0.004827505004120975,0.6341693159072176,0.2955375014718001,0.04933474626162692,-0.6857408352629404,-0.9005847276627145,0.42307652426157927,0.39084767794459474,-0.5020462689345156
AML4_DX,AML4,DX,0,0.05474529697738301,0.012048192771084201,0.5531600084548719,0.31283026844218964,0.0657366307334599,0.0014796026210103,0.9985203973789897,0.054826418289584886,0.012066045723962606,0.5539796782387805,0.31329381879762896,0.06583403895004207,0.1463867865382984,-0.78656965986141,0.018144932887707566,0.4828292309798518,-0.383996584032885
AML5_DX,AML5,DX,0,0.1678666161424781,0.0155361879499809,0.313186813186813,0.3429329291398255,0.1502463054187188,0.0102311481621826,0.9897688518378174,0.16960183767228168,0.015696784073506734,0.31642419601837657,0.34647779479326163,0.15179938744257232,2.614576343997461,-0.7293814923682904,-1.181432995782218,0.654729383018867,0.2310711339382936
AML6_DX,AML6,DX,0,0.0861387703492965,0.0129603287498023,0.6137189821400346,0.1863442389758177,0.09988936304725761,0.0009483167377904,0.9990516832622096,0.08622053472551794,0.012972630912830114,0.6143015345673152,0.18652112007593713,0.0999841797183988,0.821501987768473,-0.7722899347376632,0.3227506897903086,-0.1738806879136272,-0.13965802763637558
AML7_DX,AML7,DX,0,0.1666666666666666,0.0277777777777777,0.1388888888888888,0.0555555555555555,0.6111111111111109,0.0,1.0,0.1666666666666666,0.0277777777777777,0.1388888888888888,0.0555555555555555,0.6111111111111109,2.551456919434433,-0.5390924037783843,-2.0779285596883326,-0.8523105558683285,3.5173698422924446
AML8_DX,AML8,DX,0,0.0084552102376598,0.0205667276051188,0.8768281535648994,0.0034277879341862998,0.0907221206581349,0.0,1.0,0.0084552102376598,0.0205667276051188,0.8768281535648994,0.0034277879341862998,0.0907221206581349,-0.8508034837834874,-0.6526744648836925,1.6484247382033739,-1.1223436339041593,-0.2059265140650185
AML9_DX,AML9,DX,0,0.0319040326697293,0.002935171005615,0.0895865237366001,0.8125319040326696,0.058065339458907295,0.0049770290964777,0.9950229709035223,0.03206361421059366,0.0029498525073745206,0.09003462870334722,0.8165961267154032,0.05835577786328043,-0.34311624144824066,-0.9301598430084108,-2.3246266855000552,3.0900437270378034,-0.4375022937366829
