sample_id,gsm,sample,timepoint,CD4.Naive,B.Cell,CD4.Memory,CD8.Memory,NK,Late.Erythrocyte,CD8.Naive,CD8.Effector,Pre.B.Cell,Early.Erythrocyte,GMP,Plasma,pDC,CLP,HSC,Progenitor,Unknown,Monocytes,CD16.Monocytes,cDC,Early.Basophil
AML17_REL,GSM7494283,AML17,REL,0.32653446647780926,0.2137865911237016,0.15240793201133143,0.11614730878186968,0.11350330500472143,0.0,0.021718602455146365,0.034372049102927286,0.007743153918791312,0.00018885741265344664,0.0007554296506137865,0.0022662889518413596,0.0,0.006043437204910292,0.0,0.0,0.00396600566572238,0.00018885741265344664,0.00018885741265344664,0.00018885741265344664,0.0
AML1_REM,GSM7494284,AML1,REM,0.33706070287539935,0.1964856230031949,0.09584664536741214,0.054313099041533544,0.07348242811501597,0.04153354632587859,0.019169329073482427,0.025559105431309903,0.0,0.006389776357827476,0.006389776357827476,0.0,0.0,0.0,0.006389776357827476,0.0,0.001597444089456869,0.13099041533546327,0.004792332268370607,0.0,0.0
AML1_DX,GSM7494285,AML1,DX,0.031164783794312426,0.0007791195948578107,0.014803272302298403,0.0218153486560187,0.005453837164004675,0.14920140241527075,0.009349435138293729,0.003506038176860148,0.08998831320607713,0.02999610440202571,0.06466692637319829,0.0,0.04246201791975068,0.32684067004285156,0.029606544604596805,0.02999610440202571,0.0007791195948578107,0.12699649396182314,0.005453837164004675,0.016361511492014025,0.0007791195948578107
AML27_DX,GSM7494286,AML27,DX,0.19153225806451613,0.29838709677419356,0.12096774193548387,0.06854838709677419,0.16129032258064516,0.008064516129032258,0.016129032258064516,0.014112903225806451,0.008064516129032258,0.008064516129032258,0.020161290322580645,0.0020161290322580645,0.0020161290322580645,0.014112903225806451,0.016129032258064516,0.04032258064516129,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0020161290322580645
AML27_REL,GSM7494287,AML27,REL,0.052158273381294966,0.002697841726618705,0.0368705035971223,0.03597122302158273,0.0764388489208633,0.5044964028776978,0.009892086330935251,0.019784172661870502,0.008992805755395683,0.13309352517985612,0.0044964028776978415,0.0008992805755395684,0.002697841726618705,0.02158273381294964,0.0,0.0044964028776978415,0.0,0.07194244604316546,0.013489208633093525,0.0,0.0
AML27_REM,GSM7494288,AML27,REM,0.4193016634197512,0.0020980068934512213,0.1251311254308407,0.043158998950996556,0.09231230331185374,0.0004495729057395474,0.061291772815824964,0.01828263150007493,0.004046156151655927,0.0026974374344372848,0.005844447774614117,0.0010490034467256107,0.015884909336130675,0.002247864528697737,0.0008991458114790948,0.0005994305409860632,0.007343024127079274,0.17233628053349317,0.01363704480743294,0.011239322643488685,0.0001498576352465158
AML9_DX,GSM7494289,AML9,DX,0.2551282051282051,0.3128205128205128,0.07692307692307693,0.05512820512820513,0.12179487179487179,0.007692307692307693,0.04358974358974359,0.021794871794871794,0.0,0.016666666666666666,0.010256410256410256,0.0038461538461538464,0.0,0.0,0.03461538461538462,0.026923076923076925,0.0,0.005128205128205128,0.001282051282051282,0.001282051282051282,0.005128205128205128
AML9_REL,GSM7494290,AML9,REL,0.4995612752266745,0.14770400701959638,0.1219654869844984,0.06463878326996197,0.0713658964609535,0.02690845276396607,0.01842644047967242,0.005557180462123428,0.008774495466510676,0.0032173150043872476,0.00116993272886809,0.0,0.0,0.00233986545773618,0.0008774495466510676,0.0,0.000584966364434045,0.022521205030710735,0.0032173150043872476,0.00116993272886809,0.0
AML9_REM,GSM7494291,AML9,REM,0.2593398621690243,0.0003627130939426913,0.12005803409503082,0.06964091403699674,0.10700036271309395,0.02974247370330069,0.07653246282190787,0.08015959376133479,0.0003627130939426913,0.0029017047515415306,0.011606819006166122,0.0,0.03735944867609721,0.0025389916575988395,0.0003627130939426913,0.002176278563656148,0.0025389916575988395,0.14109539354370693,0.030467899891186073,0.025752629669931085,0.0
AML10_DX,GSM7494292,AML10,DX,0.17689530685920576,0.5631768953068592,0.036101083032490974,0.039711191335740074,0.04332129963898917,0.0,0.05415162454873646,0.007220216606498195,0.0,0.0036101083032490976,0.01444043321299639,0.0,0.0,0.007220216606498195,0.007220216606498195,0.007220216606498195,0.010830324909747292,0.021660649819494584,0.007220216606498195,0.0,0.0
