sample_id,B.Cell,CD16.Monocytes,CD4.Memory,CD4.Naive,CD8.Effector,CD8.Memory,CD8.Naive,CLP,Early.Basophil,Early.Erythrocyte,GMP,HSC,Late.Erythrocyte,Monocytes,NK,Plasma,Pre.B.Cell,Progenitor,Unknown,cDC,pDC
AML1_DX,0.0007791195948578107,0.005453837164004675,0.014803272302298403,0.031164783794312426,0.003506038176860148,0.0218153486560187,0.009349435138293729,0.32684067004285156,0.0007791195948578107,0.02999610440202571,0.06466692637319829,0.029606544604596805,0.14920140241527075,0.12699649396182314,0.005453837164004675,0.0,0.08998831320607713,0.02999610440202571,0.0007791195948578107,0.016361511492014025,0.04246201791975068
AML20_DX,0.05962145110410095,0.009936908517350157,0.006309148264984227,0.013722397476340693,0.0031545741324921135,0.0056782334384858045,0.004574132492113565,0.015772870662460567,0.019242902208201892,0.04085173501577287,0.14400630914826498,0.1309148264984227,0.00473186119873817,0.3621451104100946,0.00473186119873817,0.0015772870662460567,0.002523659305993691,0.1222397476340694,0.004416403785488959,0.03675078864353312,0.007097791798107256
AML21_DX,0.024855636454933466,0.00025106703489831785,0.013055485814712529,0.060507155410494604,0.004017072558373086,0.008787346221441126,0.003263871453678132,0.012302284710017574,0.0035149384885764497,0.07632437860908863,0.10218428320361536,0.29349736379613356,0.02786844087371328,0.23474767762992718,0.005272407732864675,0.0,0.0037660055234747677,0.0690434345970374,0.0012553351744915891,0.047953803665578706,0.007532011046949535
AML22_DX,0.006212755166730062,0.0,0.018511474578420187,0.03410675795613034,0.002282236591860023,0.003803727653100038,0.003676936731330037,0.0003803727653100038,0.0502092050209205,0.054646887282870545,0.07721567135793077,0.1797895270698618,0.0035501458095600355,0.00012679092177000128,0.002916191200710029,0.0,0.0,0.5625713198934956,0.0,0.0,0.0
AML23_DX,0.14578910120311395,0.0,0.055201698513800426,0.29582448690728946,0.005661712668082095,0.021939136588818117,0.012738853503184714,0.0537862703467799,0.0014154281670205238,0.016985138004246284,0.051663128096249115,0.11464968152866242,0.004953998584571833,0.012738853503184714,0.04600141542816702,0.0,0.007077140835102618,0.11394196744515216,0.0,0.012738853503184714,0.02689313517338995
AML24_DX,0.008152173913043478,0.0011441647597254005,0.006578947368421052,0.013729977116704805,0.006864988558352402,0.006006864988558352,0.0015732265446224256,0.013729977116704805,0.004290617848970252,0.03318077803203661,0.27660183066361554,0.2811784897025172,0.015017162471395881,0.16018306636155608,0.005005720823798627,0.0010011441647597254,0.0005720823798627002,0.10955377574370709,0.002145308924485126,0.04891304347826087,0.004576659038901602
AML25_DX,0.013329050907339008,0.01638027942829613,0.012204914083828488,0.04191424441946363,0.004014774369680424,0.006423638991488678,0.005138911193190943,0.00048177292436165086,0.05171029388148386,0.21085594989561587,0.04416251806648466,0.23526577806327284,0.0011241368235105186,0.12670627910711418,0.010117231411594669,0.0,0.0,0.21711899791231734,0.0003211819495744339,0.0014453187730849527,0.0012847277982977357
AML26_DX,0.006317119393556538,0.0,0.03272267845862287,0.01162349968414403,0.001137081490840177,0.003790271636133923,0.0010107391029690461,0.08679722046746684,0.027795325331648767,0.03954516740366393,0.03853442830069488,0.07997473152242578,0.0048010107391029695,0.004295641187618446,0.004927353126974099,0.0006317119393556538,0.002147820593809223,0.6539481996209728,0.0,0.0,0.0
AML27_DX,0.03836382113821138,0.008130081300813009,0.015497967479674796,0.024136178861788617,0.0017784552845528454,0.008638211382113821,0.0020325203252032522,0.022357723577235773,0.008384146341463415,0.020071138211382115,0.11890243902439024,0.133130081300813,0.0010162601626016261,0.24491869918699186,0.02032520325203252,0.00025406504065040653,0.01016260162601626,0.1402439024390244,0.006859756097560976,0.02108739837398374,0.15370934959349594
AML2_DX,0.00608149199270221,0.0,0.004662477194405028,0.005676059193188729,0.0010135819987837015,0.003040745996351105,0.000608149199270221,0.01844719237786337,0.0028380295965943643,0.0034461787958645854,0.3920535171295358,0.05493614433407663,0.01297384958443138,0.3067099128319481,0.0018244475978106628,0.0014190147982971822,0.014392864382728562,0.12385972025136834,0.002027163997567403,0.03729981755524022,0.006689641191972431
